	Cistopus_taiwanicus	Cistopus_chinensis	Octopus_bimaculo1es	Octopus_bimaculatus	Octopus_vulgaris	Amphioctopus_fangsiao	Amphioctopus_marginatus	Amphioctopus_aegina	Octopus_minor	Octopus_conispadiceus	Spirula_spirula_voucher_NMV_Z7	Watasenia_scintillans	Vampyroteuthis_infernalis	Todarodes_pacificus	Illex_argentinus	Architeuthis_dux_isolate_2099	Sepiella_maindroni	Sepiella_japonica	Sepiella_inermis	Sepia_officinalis	Sepia_apama	Sepia_latimanus	Sepia_pharaonis	Sepia_lyc1as	Semirossia_patagonica	Uroteuthis_duvaucelii	Sepioteuthis_lessoniana_vouche	Aplysia_californica	Argonauta_hians
Sepiella_japonica	0.450	0.444	0.448	0.451	0.448	0.459	0.449	0.451	0.450	0.449	0.436	0.384	0.444	0.485	0.509	0.539	0.998	1	0.940	0.847	0.791	0.788	0.809	0.805	0.447	0.416	0.346	0.279	0.291
Sepiella_inermis	0.448	0.443	0.447	0.450	0.445	0.459	0.448	0.450	0.448	0.446	0.435	0.384	0.443	0.484	0.509	0.536	0.940	0.940	1	0.847	0.792	0.787	0.808	0.806	0.448	0.417	0.347	0.280	0.290
Sepia_officinalis	0.437	0.431	0.435	0.439	0.434	0.447	0.436	0.439	0.435	0.434	0.426	0.377	0.432	0.474	0.499	0.528	0.847	0.847	0.847	1	0.780	0.776	0.796	0.793	0.438	0.411	0.338	0.276	0.283
Sepia_apama	0.439	0.433	0.436	0.439	0.435	0.449	0.437	0.441	0.434	0.436	0.426	0.376	0.433	0.472	0.498	0.526	0.791	0.791	0.792	0.780	1	0.830	0.789	0.792	0.441	0.411	0.345	0.278	0.283
Sepia_latimanus	0.441	0.433	0.437	0.442	0.435	0.450	0.440	0.444	0.436	0.435	0.425	0.376	0.433	0.473	0.498	0.526	0.788	0.788	0.787	0.776	0.830	1	0.796	0.794	0.444	0.411	0.343	0.275	0.290
Sepia_pharaonis	0.448	0.440	0.442	0.446	0.440	0.455	0.445	0.449	0.443	0.446	0.433	0.382	0.442	0.481	0.509	0.537	0.809	0.809	0.808	0.796	0.789	0.796	1	0.867	0.449	0.421	0.350	0.283	0.291
Sepia_lyc1as	0.446	0.441	0.444	0.447	0.441	0.455	0.443	0.451	0.444	0.445	0.434	0.381	0.442	0.480	0.508	0.533	0.806	0.805	0.806	0.793	0.792	0.794	0.867	1	0.450	0.418	0.348	0.280	0.290
Semirossia_patagonica	0.480	0.474	0.477	0.479	0.476	0.483	0.475	0.478	0.475	0.478	0.496	0.360	0.480	0.365	0.385	0.405	0.447	0.447	0.448	0.438	0.441	0.444	0.449	0.450	1	0.388	0.342	0.303	0.306
Uroteuthis_duvaucelii	0.363	0.359	0.362	0.366	0.360	0.370	0.365	0.368	0.359	0.363	0.346	0.283	0.351	0.375	0.399	0.406	0.416	0.416	0.417	0.411	0.411	0.411	0.421	0.418	0.388	1	0.571	0.258	0.293
Sepioteuthis_lessoniana_vouche	0.337	0.332	0.336	0.341	0.334	0.345	0.336	0.341	0.334	0.338	0.320	0.264	0.329	0.282	0.298	0.311	0.346	0.346	0.347	0.338	0.345	0.343	0.350	0.348	0.342	0.571	1	0.247	0.285
Aplysia_californica	0.316	0.312	0.315	0.318	0.314	0.320	0.314	0.315	0.316	0.317	0.301	0.235	0.314	0.259	0.261	0.247	0.279	0.279	0.280	0.276	0.278	0.275	0.283	0.280	0.303	0.258	0.247	1	0.343
Argonauta_hians	0.319	0.312	0.319	0.323	0.313	0.325	0.315	0.323	0.319	0.317	0.289	0.235	0.314	0.273	0.274	0.255	0.291	0.291	0.290	0.283	0.283	0.290	0.291	0.290	0.306	0.293	0.285	0.343	1
